"$p\,[\mathrm{bar}]$","$n\,[\mathrm{nm}^{-3}]$",$m^*/m$,$F_0^a$,"$T_c\,[\mathrm{mK}]$","$v_f\,[\mathrm{m/s}]$","$\xi_0\,[\mathrm{nm}]$",$\beta^{\mathrm{sc}}_{1}$,$\beta^{\mathrm{sc}}_{2}$,$\beta^{\mathrm{sc}}_{3}$,$\beta^{\mathrm{sc}}_{4}$,$\beta^{\mathrm{sc}}_{5}$
0.0,16.28,2.8,-0.7226,0.929,59.03,77.21,-0.0098,-0.0419,-0.0132,-0.0047,-0.0899
2.0,17.41,3.05,-0.7317,1.181,55.41,57.04,-0.0127,-0.049,-0.0161,-0.0276,-0.1277
4.0,18.21,3.27,-0.7392,1.388,52.36,45.85,-0.0155,-0.0562,-0.0184,-0.0514,-0.1602
6.0,18.85,3.48,-0.7453,1.56,49.77,38.77,-0.0181,-0.0636,-0.0202,-0.076,-0.188
8.0,19.34,3.68,-0.7503,1.705,47.56,33.91,-0.0207,-0.0711,-0.0216,-0.101,-0.2119
10.0,19.75,3.86,-0.7544,1.828,45.66,30.37,-0.0231,-0.0786,-0.0226,-0.126,-0.2324
12.0,20.16,4.03,-0.758,1.934,44.0,27.66,-0.0254,-0.0861,-0.0233,-0.1508,-0.2503
14.0,20.6,4.2,-0.761,2.026,42.51,25.51,-0.0275,-0.0936,-0.0239,-0.1751,-0.266
16.0,21.01,4.37,-0.7637,2.106,41.17,23.76,-0.0295,-0.1011,-0.0243,-0.1985,-0.2801
18.0,21.44,4.53,-0.7661,2.177,39.92,22.29,-0.0314,-0.1086,-0.0247,-0.2208,-0.293
20.0,21.79,4.7,-0.7684,2.239,38.74,21.03,-0.033,-0.116,-0.0249,-0.2419,-0.3051
22.0,22.96,4.86,-0.7705,2.293,37.61,19.94,-0.0345,-0.1233,-0.0252,-0.2614,-0.3167
24.0,22.36,5.02,-0.7725,2.339,36.53,18.99,-0.0358,-0.1306,-0.0255,-0.2795,-0.328
26.0,22.54,5.18,-0.7743,2.378,35.5,18.15,-0.037,-0.1378,-0.0258,-0.2961,-0.3392
28.0,22.71,5.34,-0.7758,2.411,34.53,17.41,-0.0381,-0.1448,-0.0262,-0.3114,-0.3502
30.0,22.9,5.5,-0.7769,2.438,33.63,16.77,-0.0391,-0.1517,-0.0265,-0.3255,-0.3611
32.0,23.22,5.66,-0.7775,2.463,32.85,16.22,-0.0402,-0.1583,-0.0267,-0.3388,-0.3717
34.0,23.87,5.82,-0.7775,2.486,32.23,15.76,-0.0413,-0.1645,-0.0268,-0.3518,-0.3815
