$P$ (bar), $V/n$ (cm$^3$/mol), $C/nRT$ (K$^{-1}), $c_1$ (m/sec), $T_*$ (K), $\eta T^2$ (poise mK$^2$), $\kappa T$ (erg/sec cm)
0.0,36.84,3.0,182.9,0.359,1.834,34.8
3.0,33.87,3.22,227.5,0.305,1.73,29.7
6.0,32.07,3.43,259.7,0.277,1.63,25.8
9.0,30.76,3.61,285.9,0.256,1.54,22.7
12.0,29.71,3.78,308.0,0.238,1.46,20.3
15.0,28.86,3.95,327.1,0.224,1.38,18.4
18.0,28.13,4.1,345.0,0.212,1.3,16.7
21.0,27.56,4.24,360.5,0.205,1.22,15.3
24.0,27.06,4.37,375.1,0.198,1.14,14.0
27.0,26.58,4.51,389.3,0.191,1.06,12.9
30.0,26.14,4.64,403.0,0.185,0.99,11.9
33.0,25.71,4.78,415.9,0.179,0.92,11.0
34.36,25.54,4.85,421.7,0.177,0.88,10.7
